break_year,Rule,Sub_rule,Value
1982-01-01,Re-release,Re-release,0
1983-01-01,Re-release,Re-release,1
1984-01-01,Re-release,Re-release,0
1985-01-01,Re-release,Re-release,0
1986-01-01,Re-release,Re-release,1
1987-01-01,Re-release,Re-release,0
1988-01-01,Re-release,Re-release,0
1989-01-01,Re-release,Re-release,2
1990-01-01,Re-release,Re-release,1
1991-01-01,Re-release,Re-release,0
1992-01-01,Re-release,Re-release,1
1993-01-01,Re-release,Re-release,1
1994-01-01,Re-release,Re-release,0
1995-01-01,Re-release,Re-release,0
1996-01-01,Re-release,Re-release,0
1997-01-01,Re-release,Re-release,0
1998-01-01,Re-release,Re-release,0
1999-01-01,Re-release,Re-release,0
2000-01-01,Re-release,Re-release,0
2001-01-01,Re-release,Re-release,1
2002-01-01,Re-release,Re-release,0
2003-01-01,Re-release,Re-release,0
2004-01-01,Re-release,Re-release,0
2005-01-01,Re-release,Re-release,0
2006-01-01,Re-release,Re-release,0
2007-01-01,Re-release,Re-release,0
2008-01-01,Re-release,Re-release,0
2009-01-01,Re-release,Re-release,0
2010-01-01,Re-release,Re-release,0
2011-01-01,Re-release,Re-release,0
2012-01-01,Re-release,Re-release,0
2013-01-01,Re-release,Re-release,0
2014-01-01,Re-release,Re-release,0
2015-01-01,Re-release,Re-release,0
2016-01-01,Re-release,Re-release,0
2017-01-01,Re-release,Re-release,0
2018-01-01,Re-release,Re-release,0
2019-01-01,Re-release,Re-release,0
2020-01-01,Re-release,Re-release,0
2021-01-01,Re-release,Re-release,0
2022-01-01,Re-release,Re-release,0
2023-01-01,Re-release,Re-release,1
2024-01-01,Re-release,Re-release,0
2025-01-01,Re-release,Re-release,0
2026-01-01,Re-release,Re-release,0
1968-01-01,Performance,Super Bowl,0
1969-01-01,Performance,Super Bowl,0
1970-01-01,Performance,Super Bowl,0
1971-01-01,Performance,Super Bowl,0
1972-01-01,Performance,Super Bowl,0
1973-01-01,Performance,Super Bowl,0
1974-01-01,Performance,Super Bowl,0
1975-01-01,Performance,Super Bowl,0
1976-01-01,Performance,Super Bowl,0
1977-01-01,Performance,Super Bowl,0
1978-01-01,Performance,Super Bowl,0
1979-01-01,Performance,Super Bowl,0
1980-01-01,Performance,Super Bowl,0
1981-01-01,Performance,Super Bowl,0
1982-01-01,Performance,Super Bowl,0
1983-01-01,Performance,Super Bowl,0
1984-01-01,Performance,Super Bowl,0
1985-01-01,Performance,Super Bowl,0
1986-01-01,Performance,Super Bowl,0
1987-01-01,Performance,Super Bowl,0
1988-01-01,Performance,Super Bowl,0
1989-01-01,Performance,Super Bowl,0
1990-01-01,Performance,Super Bowl,0
1991-01-01,Performance,Super Bowl,0
1992-01-01,Performance,Super Bowl,0
1993-01-01,Performance,Super Bowl,0
1994-01-01,Performance,Super Bowl,0
1995-01-01,Performance,Super Bowl,0
1996-01-01,Performance,Super Bowl,0
1997-01-01,Performance,Super Bowl,0
1998-01-01,Performance,Super Bowl,0
1999-01-01,Performance,Super Bowl,0
2000-01-01,Performance,Super Bowl,0
2001-01-01,Performance,Super Bowl,0
2002-01-01,Performance,Super Bowl,0
2003-01-01,Performance,Super Bowl,0
2004-01-01,Performance,Super Bowl,0
2005-01-01,Performance,Super Bowl,0
2006-01-01,Performance,Super Bowl,0
2007-01-01,Performance,Super Bowl,0
2008-01-01,Performance,Super Bowl,0
2009-01-01,Performance,Super Bowl,0
2010-01-01,Performance,Super Bowl,0
2011-01-01,Performance,Super Bowl,0
2012-01-01,Performance,Super Bowl,0
2013-01-01,Performance,Super Bowl,0
2014-01-01,Performance,Super Bowl,0
2015-01-01,Performance,Super Bowl,2
2016-01-01,Performance,Super Bowl,0
2017-01-01,Performance,Super Bowl,1
2018-01-01,Performance,Super Bowl,0
2019-01-01,Performance,Super Bowl,0
2020-01-01,Performance,Super Bowl,0
2021-01-01,Performance,Super Bowl,0
2022-01-01,Performance,Super Bowl,3
2023-01-01,Performance,Super Bowl,3
2024-01-01,Performance,Super Bowl,1
2025-01-01,Performance,Super Bowl,3
2026-01-01,Performance,Super Bowl,1
1968-01-01,Internet virality,TikTok,0
1969-01-01,Internet virality,TikTok,0
1970-01-01,Internet virality,TikTok,0
1971-01-01,Internet virality,TikTok,0
1972-01-01,Internet virality,TikTok,0
1973-01-01,Internet virality,TikTok,0
1974-01-01,Internet virality,TikTok,0
1975-01-01,Internet virality,TikTok,0
1976-01-01,Internet virality,TikTok,0
1977-01-01,Internet virality,TikTok,0
1978-01-01,Internet virality,TikTok,0
1979-01-01,Internet virality,TikTok,0
1980-01-01,Internet virality,TikTok,0
1981-01-01,Internet virality,TikTok,0
1982-01-01,Internet virality,TikTok,0
1983-01-01,Internet virality,TikTok,0
1984-01-01,Internet virality,TikTok,0
1985-01-01,Internet virality,TikTok,0
1986-01-01,Internet virality,TikTok,0
1987-01-01,Internet virality,TikTok,0
1988-01-01,Internet virality,TikTok,0
1989-01-01,Internet virality,TikTok,0
1990-01-01,Internet virality,TikTok,0
1991-01-01,Internet virality,TikTok,0
1992-01-01,Internet virality,TikTok,0
1993-01-01,Internet virality,TikTok,0
1994-01-01,Internet virality,TikTok,0
1995-01-01,Internet virality,TikTok,0
1996-01-01,Internet virality,TikTok,0
1997-01-01,Internet virality,TikTok,0
1998-01-01,Internet virality,TikTok,0
1999-01-01,Internet virality,TikTok,0
2000-01-01,Internet virality,TikTok,0
2001-01-01,Internet virality,TikTok,0
2002-01-01,Internet virality,TikTok,0
2003-01-01,Internet virality,TikTok,0
2004-01-01,Internet virality,TikTok,0
2005-01-01,Internet virality,TikTok,0
2006-01-01,Internet virality,TikTok,0
2007-01-01,Internet virality,TikTok,0
2008-01-01,Internet virality,TikTok,0
2009-01-01,Internet virality,TikTok,0
2010-01-01,Internet virality,TikTok,0
2011-01-01,Internet virality,TikTok,0
2012-01-01,Internet virality,TikTok,0
2013-01-01,Internet virality,TikTok,0
2014-01-01,Internet virality,TikTok,0
2015-01-01,Internet virality,TikTok,0
2016-01-01,Internet virality,TikTok,0
2017-01-01,Internet virality,TikTok,0
2018-01-01,Internet virality,TikTok,0
2019-01-01,Internet virality,TikTok,0
2020-01-01,Internet virality,TikTok,1
2021-01-01,Internet virality,TikTok,0
2022-01-01,Internet virality,TikTok,0
2023-01-01,Internet virality,TikTok,1
2024-01-01,Internet virality,TikTok,0
2025-01-01,Internet virality,TikTok,1
2026-01-01,Internet virality,TikTok,1
1968-01-01,Movie/TV show feature,TV show,0
1969-01-01,Movie/TV show feature,TV show,0
1970-01-01,Movie/TV show feature,TV show,0
1971-01-01,Movie/TV show feature,TV show,0
1972-01-01,Movie/TV show feature,TV show,0
1973-01-01,Movie/TV show feature,TV show,0
1974-01-01,Movie/TV show feature,TV show,0
1975-01-01,Movie/TV show feature,TV show,0
1976-01-01,Movie/TV show feature,TV show,0
1977-01-01,Movie/TV show feature,TV show,0
1978-01-01,Movie/TV show feature,TV show,0
1979-01-01,Movie/TV show feature,TV show,0
1980-01-01,Movie/TV show feature,TV show,0
1981-01-01,Movie/TV show feature,TV show,0
1982-01-01,Movie/TV show feature,TV show,0
1983-01-01,Movie/TV show feature,TV show,0
1984-01-01,Movie/TV show feature,TV show,0
1985-01-01,Movie/TV show feature,TV show,0
1986-01-01,Movie/TV show feature,TV show,0
1987-01-01,Movie/TV show feature,TV show,0
1988-01-01,Movie/TV show feature,TV show,0
1989-01-01,Movie/TV show feature,TV show,0
1990-01-01,Movie/TV show feature,TV show,0
1991-01-01,Movie/TV show feature,TV show,0
1992-01-01,Movie/TV show feature,TV show,0
1993-01-01,Movie/TV show feature,TV show,0
1994-01-01,Movie/TV show feature,TV show,0
1995-01-01,Movie/TV show feature,TV show,0
1996-01-01,Movie/TV show feature,TV show,0
1997-01-01,Movie/TV show feature,TV show,0
1998-01-01,Movie/TV show feature,TV show,0
1999-01-01,Movie/TV show feature,TV show,0
2000-01-01,Movie/TV show feature,TV show,0
2001-01-01,Movie/TV show feature,TV show,0
2002-01-01,Movie/TV show feature,TV show,0
2003-01-01,Movie/TV show feature,TV show,0
2004-01-01,Movie/TV show feature,TV show,0
2005-01-01,Movie/TV show feature,TV show,0
2006-01-01,Movie/TV show feature,TV show,0
2007-01-01,Movie/TV show feature,TV show,0
2008-01-01,Movie/TV show feature,TV show,0
2009-01-01,Movie/TV show feature,TV show,0
2010-01-01,Movie/TV show feature,TV show,0
2011-01-01,Movie/TV show feature,TV show,0
2012-01-01,Movie/TV show feature,TV show,0
2013-01-01,Movie/TV show feature,TV show,0
2014-01-01,Movie/TV show feature,TV show,0
2015-01-01,Movie/TV show feature,TV show,0
2016-01-01,Movie/TV show feature,TV show,0
2017-01-01,Movie/TV show feature,TV show,0
2018-01-01,Movie/TV show feature,TV show,0
2019-01-01,Movie/TV show feature,TV show,0
2020-01-01,Movie/TV show feature,TV show,0
2021-01-01,Movie/TV show feature,TV show,0
2022-01-01,Movie/TV show feature,TV show,1
2023-01-01,Movie/TV show feature,TV show,0
2024-01-01,Movie/TV show feature,TV show,0
2025-01-01,Movie/TV show feature,TV show,0
2026-01-01,Movie/TV show feature,TV show,1
1968-01-01,Internet virality,Youtube,0
1969-01-01,Internet virality,Youtube,0
1970-01-01,Internet virality,Youtube,0
1971-01-01,Internet virality,Youtube,0
1972-01-01,Internet virality,Youtube,0
1973-01-01,Internet virality,Youtube,0
1974-01-01,Internet virality,Youtube,0
1975-01-01,Internet virality,Youtube,0
1976-01-01,Internet virality,Youtube,0
1977-01-01,Internet virality,Youtube,0
1978-01-01,Internet virality,Youtube,0
1979-01-01,Internet virality,Youtube,0
1980-01-01,Internet virality,Youtube,0
1981-01-01,Internet virality,Youtube,0
1982-01-01,Internet virality,Youtube,0
1983-01-01,Internet virality,Youtube,0
1984-01-01,Internet virality,Youtube,0
1985-01-01,Internet virality,Youtube,0
1986-01-01,Internet virality,Youtube,0
1987-01-01,Internet virality,Youtube,0
1988-01-01,Internet virality,Youtube,0
1989-01-01,Internet virality,Youtube,0
1990-01-01,Internet virality,Youtube,0
1991-01-01,Internet virality,Youtube,0
1992-01-01,Internet virality,Youtube,0
1993-01-01,Internet virality,Youtube,0
1994-01-01,Internet virality,Youtube,0
1995-01-01,Internet virality,Youtube,0
1996-01-01,Internet virality,Youtube,0
1997-01-01,Internet virality,Youtube,0
1998-01-01,Internet virality,Youtube,0
1999-01-01,Internet virality,Youtube,0
2000-01-01,Internet virality,Youtube,0
2001-01-01,Internet virality,Youtube,0
2002-01-01,Internet virality,Youtube,0
2003-01-01,Internet virality,Youtube,0
2004-01-01,Internet virality,Youtube,0
2005-01-01,Internet virality,Youtube,0
2006-01-01,Internet virality,Youtube,0
2007-01-01,Internet virality,Youtube,0
2008-01-01,Internet virality,Youtube,0
2009-01-01,Internet virality,Youtube,0
2010-01-01,Internet virality,Youtube,0
2011-01-01,Internet virality,Youtube,0
2012-01-01,Internet virality,Youtube,0
2013-01-01,Internet virality,Youtube,2
2014-01-01,Internet virality,Youtube,0
2015-01-01,Internet virality,Youtube,0
2016-01-01,Internet virality,Youtube,0
2017-01-01,Internet virality,Youtube,0
2018-01-01,Internet virality,Youtube,0
2019-01-01,Internet virality,Youtube,0
2020-01-01,Internet virality,Youtube,0
2021-01-01,Internet virality,Youtube,0
2022-01-01,Internet virality,Youtube,0
2023-01-01,Internet virality,Youtube,0
2024-01-01,Internet virality,Youtube,0
2025-01-01,Internet virality,Youtube,0
2026-01-01,Internet virality,Youtube,0
